06-12-2026 19:44:28 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,54%@1728,58%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@50.937C soc0@50.687C gpu@52.656C tj@54.343C soc1@51.593C VDD_IN 9525mW/9355mW VDD_CPU_GPU_CV 4629mW/4481mW VDD_SOC 1731mW/1705mW
06-12-2026 19:44:28 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,61%@1728,53%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@50.906C soc0@50.625C gpu@52.875C tj@54.343C soc1@51.656C VDD_IN 9540mW/9359mW VDD_CPU_GPU_CV 4590mW/4484mW VDD_SOC 1731mW/1706mW
06-12-2026 19:44:28 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,58%@729,50%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@50.968C soc0@50.75C gpu@52.531C tj@54.437C soc1@51.5C VDD_IN 9840mW/9370mW VDD_CPU_GPU_CV 5021mW/4496mW VDD_SOC 1731mW/1706mW
06-12-2026 19:44:28 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@729,54%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@51C soc0@50.781C gpu@52.593C tj@54.5C soc1@51.468C VDD_IN 10036mW/9384mW VDD_CPU_GPU_CV 5013mW/4507mW VDD_SOC 1771mW/1708mW
06-12-2026 19:44:28 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@729,54%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@51C soc0@50.718C gpu@52.812C tj@54.437C soc1@51.718C VDD_IN 9997mW/9397mW VDD_CPU_GPU_CV 4935mW/4516mW VDD_SOC 1731mW/1708mW
06-12-2026 19:44:28 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@806,57%@806] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.593C soc2@50.906C soc0@50.75C gpu@52.656C tj@54.593C soc1@51.656C VDD_IN 9997mW/9410mW VDD_CPU_GPU_CV 5013mW/4526mW VDD_SOC 1731mW/1709mW
06-12-2026 19:44:29 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1497,40%@1497] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.718C soc2@50.906C soc0@50.875C gpu@52.843C tj@54.718C soc1@51.531C VDD_IN 10115mW/9424mW VDD_CPU_GPU_CV 5131mW/4539mW VDD_SOC 1731mW/1709mW
06-12-2026 19:44:29 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,54%@729,58%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.468C soc2@51.031C soc0@50.937C gpu@52.687C tj@54.468C soc1@51.5C VDD_IN 9918mW/9434mW VDD_CPU_GPU_CV 4896mW/4546mW VDD_SOC 1731mW/1710mW
06-12-2026 19:44:29 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@883,53%@883] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@51C soc0@50.906C gpu@52.843C tj@54.437C soc1@51.718C VDD_IN 9343mW/9432mW VDD_CPU_GPU_CV 4590mW/4547mW VDD_SOC 1731mW/1710mW
06-12-2026 19:44:29 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@729,58%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.562C soc2@51.031C soc0@50.812C gpu@52.75C tj@54.375C soc1@51.656C VDD_IN 9879mW/9441mW VDD_CPU_GPU_CV 4982mW/4555mW VDD_SOC 1731mW/1711mW
